"clave_institucion","clave_producto_hipotecario","producto_hipotecario","clave"
"040012","3013","Adquisicion Pesos Tasa Fija Apoyo Infonavit, Casa Residencial (Pagador Puntual)","0400123013"
"040012","3014","Cambio de Casa, Media","0400123014"
"040012","3015","Cambio de Casa, Media (Pagador Puntual)","0400123015"
"040012","3016","Cambio de Casa Apoyo Infonavit, Media","0400123016"
"040012","3017","Cambio de Casa Apoyo Infonavit, Media (Pagador Puntual)","0400123017"
"040012","3018","Cambio de Casa, Residencial","0400123018"
"040012","3019","Cambio de Casa, Residencial (Pagador Puntual)","0400123019"
"040012","3020","Cambio de Casa Apoyo Infonavit, Residencial","0400123020"
"040012","3021","Cambio de Casa Apoyo Infonavit, Residencial (Pagador Puntual)","0400123021"
"040012","3022","Hipoteca Herencia, Media","0400123022"
"040012","3023","Hipoteca Herencia, Media (Pagador Puntual)","0400123023"
"040012","3026","Hipoteca Herencia, Residencial","0400123026"
"040012","3027","Hipoteca Herencia, Residencial (Pagador Puntual)","0400123027"
"040012","3030","Enganche 0% Pesos, Casa Economica","0400123030"
"040012","3031","Enganche 0% Pesos, Casa Economica (Pagador Puntual)","0400123031"
"040012","3032","Enganche 0% Pesos Apoyo Infonavit, Casa Economica","0400123032"
"040012","3033","Enganche 0% Pesos Apoyo Infonavit, Casa Economica (Pagador Puntual)","0400123033"
"040012","3034","Enganche 0% Pesos, Casa Media","0400123034"
"040012","3035","Enganche 0% Pesos, Casa Media (Pagador Puntual)","0400123035"
"040012","3036","Enganche 0% Pesos Apoyo Infonavit, Casa Media","0400123036"
"040012","3037","Enganche 0% Pesos Apoyo Infonavit, Casa Media (Pagador Puntual)","0400123037"
"040012","3038","Enganche 0% Pesos, Casa Residencial","0400123038"
"040012","3039","Enganche 0% Pesos, Casa Residencial (Pagador Puntual)","0400123039"
"040012","3040","Enganche 0% Pesos Apoyo Infonavit, Casa Residencial","0400123040"
"040012","3041","Enganche 0% Pesos Apoyo Infonavit, Casa Residencial (Pagador Puntual)","0400123041"
"040012","3042","Enganche 5% Pesos, Casa Economica","0400123042"
"040012","3043","Enganche 5% Pesos, Casa Economica (Pagador Puntual)","0400123043"
"040012","3046","Enganche 5% Pesos, Casa Media","0400123046"
"040012","3047","Enganche 5% Pesos, Casa Media (Pagador Puntual)","0400123047"
"040012","3048","Adquisición de Vivienda, R04H","0400123048"
"040012","3051","Enganche 5% Pesos, Casa Residencial","0400123051"
"040012","3052","Enganche 5% Pesos, Casa Residencial (Pagador Puntual)","0400123052"
"040012","3056","Liquidez, Casa Economica","0400123056"
"040012","3057","Liquidez, Casa Media","0400123057"
"040012","3058","Liquidez, Casa Residencial","0400123058"
"040012","3059","Mejora de Condiciones Financieras","0400123059"
"040012","3550","Pago de Pasivos","0400123550"
"040012","3576","Cofinavit Pesos A","0400123576"
"040012","3577","Cofinavit Pesos B","0400123577"
"040012","3578","Cofinavit A Pagador Puntual","0400123578"
"040012","3579","Cofinavit B Pagador Puntual","0400123579"
"040012","3580","Lote con servicios","0400123580"
"040012","3583","Bancomer Cofinavit AG","0400123583"
"040012","3584","Termina de Arreglar tu Casa Apoyo Infonavit","0400123584"
"040012","AHZ8","Crédito de Construcción otorgado a través de ministraciones","040012AHZ8"
"040013","0","No aplica","0400130"
"040014","0","No aplica","0400140"
"040014","04001401","Infonavit total","04001404001401"
"040014","0690","Hipoteca Free Sustitución Fijos","0400140690"
"040014","0691","Hipoteca Free Liquidez Fijos","0400140691"
"040014","0692","Hipoteca Free Sustitución Crecientes","0400140692"
"040014","0693","Hipoteca Free Liquidez Crecientes","0400140693"
"040014","2000","Súper Casa Colectivos Adquisición Pagos Crecientes","0400142000"
"040014","200025","HIPOT EXEMPLEADO ADQUISICION TASA FIJA","040014200025"
"040014","200027","HIPOTECARIO EXEMPLEADOS ADQUISICION CPP BANXICO","040014200027"
"040014","200053","Hipotecario Adquisición UDIS Migración Serfin","040014200053"
"040014","200081","HIPOT ADQ EX-EMP UDI 100% VIV. MEDIA","040014200081"
"040014","201063","Hipoteca Free Adquisición Pagos Crecientes Seguro Mensual","040014201063"
"040014","201064","Hipoteca Free COFINAVIT Pagos Crecientes Seguro Mensual","040014201064"
"040014","201065","Hipoteca Free FOVISSSTE  Alia2 Pagos Crecientes Seguro Mensual","040014201065"
"040014","201067","Hipoteca Free Adquisición Pagos Fijos Seguro Mensual","040014201067"
"040014","201068","Hipoteca Free COFINAVIT Pagos Fijos Seguro Mensual","040014201068"
"040014","201069","Hipoteca Free FOVISSSTE  Alia2 Pagos Fijos Seguro Mensual","040014201069"
"040014","201072","Hipoteca Free FOVISSSTE Pagos Fijos Seguro Mensual","040014201072"
"040014","2025","Súper Casa Colectivos Adquisición Pagos Congelados","0400142025"
"040014","2050","Adquisicion Infonavit Pagos Programados","0400142050"
"040014","2060","Credito Hipotecario en Cofinanciamiento Pagos Programados","0400142060"
"040014","2065","Credito Hipotecario en Cofinanciamiento Pagos Congelados","0400142065"
"040014","2075","Adquisicion Infonavit Pagos Congelados","0400142075"
"040014","2078","Aquisicion Fovissste","0400142078"
"040014","2080","Hipoteca NG Seguro Mensual","0400142080"
"040014","2100","Súper Casa Liquidez Pagos Congelados Seguro Mensual","0400142100"
"040014","210025","HIPOTECARIO EXEMPLEADOS LIQUIDEZ CPP BANCO","040014210025"
"040014","210081","HIPOT LIQ EXEMP UDI 100% VIV. MEDIA","040014210081"
